seed,gss_vs_orgPrb,gss_vs_orgPrb_rtol,gss_vs_ana,gss_vs_ana_rtol,gss_vs_ana_rtol2,ana_vs_orgPrb,"diffNorms(GSS,OrgPrb)",sum(GSS.-OrgPrb),sum(GSS.-Ana),rmsq(GSS.-OrgPrb),rmsq(GSS.-Ana),norm(GSS-OrgPrb),norm(GSS-Ana),norm(Ana-OrigProb)
2502,true,true,true,true,true,true,-3.2718361353545333e-10,4.0859883107257917e-7,4.074705888766454e-6,3.280502121102063e-10,1.842270203967053e-9,2.0995213575053185e-8,1.1790529305389136e-7,4.774682233068947e-10
4168,true,true,true,true,true,true,-3.491607003525132e-11,3.325126123510276e-8,1.169961975622507e-7,2.0232049387008316e-11,1.1232745881654544e-10,1.2948511607685322e-9,7.1889573642589075e-9,8.31798575852737e-12
835,true,true,true,true,true,true,3.311129148642067e-12,1.3184815549045032e-7,5.074973870825006e-5,1.0333221288263576e-10,4.763061933006352e-8,6.613261624488687e-9,3.0483596371240636e-6,4.6276059359780316e-9
1669,true,true,true,true,true,true,-1.2789769243681803e-13,2.4424057753753923e-10,1.7132131403634066e-9,9.000189659261561e-14,6.250408733845869e-13,5.760121381927399e-12,4.000261589661356e-11,3.099937639802137e-11
1,true,true,true,true,true,true,-1.3642420526593924e-12,1.1583032426276414e-8,2.034189455972328e-7,4.663609753259637e-12,7.362229468434977e-11,2.984710242086168e-10,4.711826859798385e-9,1.7727344164590764e-10
1670,true,true,true,true,true,true,-3.531397396727698e-12,5.3603437813140066e-8,1.2128304585181434e-6,2.7363522444369982e-11,5.420284910354718e-10,1.7512654364396786e-9,3.468982342627019e-8,6.820164445274778e-10
2503,true,true,true,true,true,true,-7.332801033044234e-12,2.9364627287642008e-8,3.5871660451118094e-5,1.629553185528852e-11,5.403248261355316e-8,1.0429140387384653e-9,3.458078887267402e-6,4.279245794137426e-9
3335,true,true,true,true,true,true,5.2438053899095394e-11,1.9892948035463588e-7,1.609636198282035e-6,7.981558321243998e-11,8.319860815676336e-10,5.108197325596156e-9,5.324710922032851e-8,1.510897437708329e-9
836,true,true,true,true,true,true,1.8474111129762605e-13,3.573876812654371e-9,1.1765647581919302e-8,1.402674038567296e-12,3.849193940694277e-12,8.977113846830695e-11,2.4634841220443373e-10,6.834652842456058e-11
4169,true,true,true,true,true,true,4.973799150320701e-14,6.384895867225793e-10,7.977813258099042e-9,3.014878708712822e-13,3.4143909424932068e-12,1.929522373576206e-11,2.185210203195652e-10,5.354114758551432e-11
3336,true,true,true,true,true,true,2.5579538487363607e-13,2.9573351851153867e-10,1.8260910565246445e-9,1.473667305661096e-13,7.445177350614149e-13,9.431470756231015e-12,4.764913504393055e-11,5.418909646412333e-12
